f0_max,k_sigmoid,gamma,w_acc,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,R_acc_honnete,R_acc_cherry_picker,R_acc_sybil,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.85,25.0,1.0,0.1,692741.2534737092,273372.1300189908,424597.9728892941,2665.695247429835,3907.1202289991465,1.0,0.6247509098057168,1.0,2.534059537911145,1.6315227525929061,0.6438375768936311,259.87263703216814,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g1.0_w0.1/20260510_144952
0.85,25.0,1.0,0.2,695057.8452316225,277256.3580854839,403951.15233054035,2753.685754161014,3800.4156601646623,1.0,0.6248971318672023,1.0,2.506913998406203,1.7206482546753048,0.6863611020438775,252.41000872424928,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g1.0_w0.2/20260510_145006
0.85,25.0,1.0,0.3,689021.9741459703,278974.32181165495,371080.66729254706,3143.208568600253,4462.378880181471,1.0,0.6091514440173438,1.0,2.4698401260426843,1.8567983591631558,0.7517888868937528,219.20975306223747,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g1.0_w0.3/20260510_145021
0.85,25.0,2.0,0.1,842067.6674872711,336245.9890730933,482587.08919699956,3337.050387730507,4863.621663225148,1.0,0.6247509098057168,1.0,2.504320333481278,1.744903016134205,0.6967571172129564,252.3389130063309,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g2.0_w0.1/20260510_145036
0.85,25.0,2.0,0.2,844655.2736456948,340918.4500042302,459334.65858124616,3425.828924620041,4717.260463227599,1.0,0.6248971318672023,1.0,2.4775874512957987,1.8388668433046056,0.7422005799806837,246.5550067534022,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g2.0_w0.2/20260510_145050
0.85,25.0,2.0,0.3,837568.3004107546,343112.74439285335,421694.81118293235,3923.8133625319156,5574.191394276522,1.0,0.6091514440173438,1.0,2.441087701049557,1.9861954147863945,0.8136518052720599,213.45773180972543,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g2.0_w0.3/20260510_145105
0.85,25.0,3.0,0.1,988724.6688556668,398009.84146399715,539510.1300191038,3998.3386603959225,5808.326128042625,1.0,0.6247509098057168,1.0,2.4841714094778333,1.8326341135071116,0.7377245010207757,247.28387283676503,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g3.0_w0.1/20260510_145120
0.85,25.0,3.0,0.2,991569.7774540499,403469.92488806834,513701.9027776016,4086.9202950759727,5621.8559451392475,1.0,0.6248971318672023,1.0,2.457605180185695,1.9302435363634092,0.7854164500977986,242.6202876157675,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g3.0_w0.2/20260510_145135
0.85,25.0,3.0,0.3,983474.7902830947,406124.77045192046,471379.73284770566,4694.103966840297,6669.92626299412,1.0,0.6091514440173438,1.0,2.421607500544034,2.086374788202525,0.8615660414554397,209.51278395844582,False,False,False,True,1,simulateur/results/grid_A_v2_f0.85_k25_g3.0_w0.3/20260510_145149
0.85,40.0,1.0,0.1,756967.6747634066,229431.74749804422,456247.84331811254,534.7288697220201,1234.636282828861,1.0,0.6247509098057168,1.0,3.2993152997270325,1.6591150749519736,0.5028664811420842,1415.6102608728004,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g1.0_w0.1/20260510_145204
0.85,40.0,1.0,0.2,759073.1506840518,233313.90049042422,433617.6618327559,530.8588761221549,1222.6301809699376,1.0,0.6248971318672023,1.0,3.25344160415854,1.7505586545430485,0.5380636469102409,1429.8963148717946,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g1.0_w0.2/20260510_145219
0.85,40.0,1.0,0.3,753067.7536465067,234313.69425955554,398526.33632686886,799.5426617103856,1005.1269310206146,1.0,0.6091514440173438,1.0,3.2139297535564157,1.8896310858332965,0.5879503382867347,941.8731353690877,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g1.0_w0.3/20260510_145234
0.85,40.0,2.0,0.1,919293.905561757,284509.99498577183,518016.427384035,680.9876147830555,1531.735986411852,1.0,0.6247509098057168,1.0,3.231148015055606,1.7746423799804176,0.5492296767933353,1349.9421804530461,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g2.0_w0.1/20260510_145248
0.85,40.0,2.0,0.2,921595.6018115021,289266.0021073151,492551.2128038703,659.1433470257882,1502.548459494034,1.0,0.6248971318672023,1.0,3.1859796695693205,1.871065541723625,0.5872810676084933,1398.1717421103633,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g2.0_w0.2/20260510_145303
0.85,40.0,2.0,0.3,914601.2174298157,290528.25318267354,452412.4838084889,999.2053812319355,1267.7468573900012,1.0,0.6091514440173438,1.0,3.148062907516082,2.0216091513004675,0.6421755888276003,915.3285546783085,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g2.0_w0.3/20260510_145318
0.85,40.0,3.0,0.1,1078495.699628354,338546.3575205207,578562.0803947367,826.5181863383992,1827.9550940634606,1.0,0.6247509098057168,1.0,3.1856662335024,1.8640967601826353,0.5851513069946443,1304.8662660482444,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g3.0_w0.1/20260510_145332
0.85,40.0,3.0,0.2,1080980.4500262109,344180.80932987336,550319.6874027692,786.5247116510502,1781.6241165085871,1.0,0.6248971318672023,1.0,3.1407342324835037,1.9642772642350708,0.6254197645630902,1374.3756985804648,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g3.0_w0.2/20260510_145347
0.85,40.0,3.0,0.3,1073044.1896588532,345685.7555517604,505233.78374287987,1198.1675873662011,1529.050263527326,1.0,0.6091514440173438,1.0,3.1041029965094515,2.123856765296874,0.6842095019672801,895.5710377857969,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k40_g3.0_w0.3/20260510_145402
0.85,60.0,1.0,0.1,798181.2780999792,199686.6542498427,469603.6769585709,385.9973188313327,1038.99962360404,1.0,0.6247509098057168,1.0,3.9971688698901016,1.699691287064594,0.4252237877333727,2067.8415086317127,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g1.0_w0.1/20260510_145417
0.85,60.0,1.0,0.2,799988.7799444152,203377.99439848517,445759.60735114256,359.86404423650436,1033.6702048451436,1.0,0.6248971318672023,1.0,3.9335070753867845,1.794664134550514,0.45625038932313183,2223.0305937946355,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g1.0_w0.2/20260510_145431
0.85,60.0,1.0,0.3,794345.1375589706,204020.11858410828,409604.77396517113,642.6579159256559,692.6702337955373,1.0,0.6091514440173438,1.0,3.8934647380449294,1.939296580626558,0.4980901873020069,1236.031048360824,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g1.0_w0.3/20260510_145446
0.85,60.0,2.0,0.1,968256.6378238277,249439.3106203022,532804.547800902,492.75202831489077,1284.2766884429732,1.0,0.6247509098057168,1.0,3.8817323356770856,1.8172829827001495,0.46816287820709906,1964.997772074249,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g2.0_w0.1/20260510_145501
0.85,60.0,2.0,0.2,970191.3508451752,254081.7207534606,505989.648593307,443.4635304776231,1262.1521895207993,1.0,0.6248971318672023,1.0,3.818422466473166,1.9174134363072195,0.5021480606566335,2187.759047063579,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g2.0_w0.2/20260510_145516
0.85,60.0,2.0,0.3,963656.7082561393,254836.4065248061,464672.63342478813,800.1599162266621,871.8662494077214,1.0,0.6091514440173438,1.0,3.781471891702945,2.07384003046118,0.548421379254851,1204.3301454045386,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g2.0_w0.3/20260510_145530
0.85,60.0,3.0,0.1,1134919.5144152495,298215.2927271852,594700.9925033258,599.4700275837574,1529.4958399100365,1.0,0.6247509098057168,1.0,3.8057052810283016,1.908386783815402,0.5014541702240685,1893.2047678675303,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g3.0_w0.1/20260510_145545
0.85,60.0,3.0,0.2,1136969.5216386844,303816.80283953296,564977.6829619382,526.9966486560736,1490.5926444979164,1.0,0.6248971318672023,1.0,3.742286506250933,2.0124149252728634,0.5377500952723485,2157.451142313979,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g3.0_w0.2/20260510_145600
0.85,60.0,3.0,0.3,1129590.686596649,304662.04458234296,518606.1704588902,957.6244737324454,1050.9847281371412,1.0,0.6091514440173438,1.0,3.707684323280865,2.1781281267770636,0.5874632079922263,1179.575833305457,True,False,False,True,2,simulateur/results/grid_A_v2_f0.85_k60_g3.0_w0.3/20260510_145615
