delta_refus,T_attente,delta_temps,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,P_moyen,frac_cap_activations,frac_impraticables,frac_mempool_persistent,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.05,3,0.01,1241545.0426726867,395996.8454721469,391957.77472285804,1118.2531792521838,1040.002646903695,1.0082005686268007,0.0,0.0,0.6986245349451908,3.1352397294791405,3.167547941995913,1.0103048619258663,1110.2539797856446,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta3_dt0.01/20260511_201945
0.05,3,0.02,1241562.0673547485,396006.0869223373,391962.51657268417,1118.5177471399402,1040.6164028507283,1.0082185764841394,0.0,0.0,0.6986245349451908,3.1352095544890886,3.1675530563762915,1.010316216930665,1110.0065873156093,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta3_dt0.02/20260511_202008
0.05,5,0.005,1241528.5528094005,395988.1907572677,391953.35849589354,1118.0149447830502,1039.3947882408697,1.0081831669498602,0.0,0.0,0.6986245349451908,3.1352666109440395,3.1675415604900548,1.0102941642772438,1110.4758112605714,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta5_dt0.005/20260511_202032
0.05,5,0.01,1241528.8295735528,395988.6996128307,391953.6431237857,1118.037464234187,1039.3947691808269,1.0081835681774554,0.0,0.0,0.6986245349451908,3.1352632809659227,3.167539966407346,1.0102947288788708,1110.4536916604604,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta5_dt0.01/20260511_202056
0.05,5,0.02,1241529.3842713102,395989.7226945964,391954.22129812994,1118.0831768906455,1039.3947309286464,1.0081843751734756,0.0,0.0,0.6986245349451908,3.135256581466456,3.1675367091581155,1.0102958487935176,1110.408787049247,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta5_dt0.02/20260511_202119
0.05,10,0.005,1241528.2764324904,395987.68368011736,391953.07682126225,1117.9926484367,1039.3948072571795,1.008182767225901,0.0,0.0,0.6986245349451908,3.1352699278278786,3.1675431316964757,1.010293596599817,1110.4977104890015,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta10_dt0.005/20260511_202143
0.05,10,0.01,1241528.2764324904,395987.68368011736,391953.07682126225,1117.9926484367,1039.3948072571795,1.008182767225901,0.0,0.0,0.6986245349451908,3.1352699278278786,3.1675431316964757,1.010293596599817,1110.4977104890015,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta10_dt0.01/20260511_202207
0.05,10,0.02,1241528.2764324904,395987.68368011736,391953.07682126225,1117.9926484367,1039.3948072571795,1.008182767225901,0.0,0.0,0.6986245349451908,3.1352699278278786,3.1675431316964757,1.010293596599817,1110.4977104890015,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta10_dt0.02/20260511_202231
0.08,3,0.005,1248534.7868479455,398671.2108588406,391789.4721660365,1121.4511692988283,1043.6856103222453,1.0131686446976964,0.0,0.0,0.6986245349451908,3.1317405241233236,3.1867491996283883,1.0175648892624856,1113.3206875414598,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta3_dt0.005/20260511_202254
0.08,3,0.01,1248543.171075764,398675.80004174577,391791.8271737752,1121.5819209968577,1043.9902634704208,1.0131775571743498,0.0,0.0,0.6986245349451908,3.1317255046456993,3.1867514442101568,1.017570486137061,1113.1983742801985,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta3_dt0.01/20260511_202318
0.08,3,0.02,1248559.992558595,398685.04370617855,391796.5758394549,1121.8464026854213,1044.6039896656189,1.0131954532389957,0.0,0.0,0.6986245349451908,3.131695086808308,3.1867557542672684,1.0175817459659124,1112.9509258752828,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta3_dt0.02/20260511_202342
0.08,5,0.005,1248526.696280809,398667.1502114921,391787.41152713867,1121.3436914931513,1043.3824112992104,1.0131601554974097,0.0,0.0,0.6986245349451908,3.1317521286077072,3.186745310203324,1.017559876815687,1113.420181299013,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta5_dt0.005/20260511_202405
0.08,5,0.01,1248526.9727257628,398667.6589447823,391787.6961624426,1121.3662107808066,1043.3823920735892,1.0131605567250046,0.0,0.0,0.6986245349451908,3.1317488256520223,3.1867437006191737,1.0175604360466877,1113.398068108735,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta5_dt0.01/20260511_202429
0.08,5,0.02,1248527.5267828475,398668.6817811327,391788.274351642,1121.411923108868,1043.3823534890903,1.0131613637210248,0.0,0.0,0.6986245349451908,3.131742180511394,3.1867404118946543,1.0175615450484752,1113.3531765219504,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta5_dt0.02/20260511_202453
0.08,10,0.005,1248526.4202224046,398666.6432563461,391787.1298451255,1121.3213953098225,1043.3824304807267,1.0131597557734502,0.0,0.0,0.6986245349451908,3.1317554185730843,3.1867468967547516,1.01755931445206,1113.4420741855508,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta10_dt0.005/20260511_202517
0.08,10,0.01,1248526.4202224046,398666.6432563461,391787.1298451255,1121.3213953098225,1043.3824304807267,1.0131597557734502,0.0,0.0,0.6986245349451908,3.1317554185730843,3.1867468967547516,1.01755931445206,1113.4420741855508,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta10_dt0.01/20260511_202540
0.08,10,0.02,1248526.4202224046,398666.6432563461,391787.1298451255,1121.3213953098225,1043.3824304807267,1.0131597557734502,0.0,0.0,0.6986245349451908,3.1317554185730843,3.1867468967547516,1.01755931445206,1113.4420741855508,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.08_ta10_dt0.02/20260511_202604
