f0_max,k_sigmoid,gamma,w_acc,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,R_acc_honnete,R_acc_cherry_picker,R_acc_sybil,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.88,40.0,1.0,0.05,607325.1803958607,116690.91375025672,262709.1257788894,334.629167600046,870.5988549008213,1.0,0.6036253105740796,1.0,5.204562727957254,2.3117780114993773,0.44418294722076107,1814.9200344715473,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k40_g1.0/20260510_173733
0.88,40.0,2.0,0.05,743794.5375126868,146353.31200197147,299324.6878656205,417.7292314637574,1077.0841852492765,1.0,0.6036253105740796,1.0,5.082184525504059,2.4849087551595734,0.4889450083304711,1780.566169397267,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k40_g2.0/20260510_173748
0.88,40.0,3.0,0.05,878157.733277548,175571.02723707643,335362.1298319269,500.65493620164546,1283.224054440659,1.0,0.6036253105740796,1.0,5.001723502430485,2.6185357712203623,0.5235266943380494,1754.0179268778013,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k40_g3.0/20260510_173802
0.88,60.0,1.0,0.05,637951.5977159655,81697.51184905613,277298.39365467394,282.37283871183735,688.0777881025608,1.0,0.6036253105740796,1.0,7.808702900213673,2.3005960810231785,0.29461949192102393,2259.252698050742,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k60_g1.0/20260510_173817
0.88,60.0,2.0,0.05,781890.00203286,103793.53423405791,315727.36616196815,351.7241357265645,851.0057289886778,1.0,0.6036253105740796,1.0,7.533128222319434,2.4764720636593482,0.328744180448431,2223.0206079480217,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k60_g2.0/20260510_173832
0.88,60.0,3.0,0.05,923507.8433548269,125547.70761059117,353523.52314586064,421.06748695886336,1013.9093148784981,1.0,0.6036253105740796,1.0,7.355831985552877,2.6122953152789097,0.35513254250634774,2193.2537466257754,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k60_g3.0/20260510_173846
0.9,25.0,1.0,0.05,473388.86037383595,122316.37462156995,214166.1127592164,850.6886345892542,1736.8270977398067,1.0,0.6036253105740796,1.0,3.870200223301549,2.2103817185404098,0.5711285181661224,556.4772363538236,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k25_g1.0/20260510_173901
0.9,25.0,2.0,0.05,581206.5281661785,152024.2334289578,244640.2898718901,1063.4634764155896,2156.457900838045,1.0,0.6036253105740796,1.0,3.8231176376086196,2.3757596447851532,0.6214194461123628,546.5223216928322,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k25_g2.0/20260510_173915
0.9,25.0,3.0,0.05,687712.9523450409,181378.4518119827,274734.87165027054,1274.4401399076316,2573.2122227216555,1.0,0.6036253105740796,1.0,3.7915912583592104,2.5031877031630674,0.6601945021485011,539.6196579267228,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k25_g3.0/20260510_173930
0.9,40.0,1.0,0.05,479231.35468921385,66260.79619949426,237366.0674282993,283.4459256446154,651.3244123622055,1.0,0.6036253105740796,1.0,7.232502206076292,2.0189547726065533,0.27915024635738855,1690.7329099874744,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k40_g1.0/20260510_173944
0.9,40.0,2.0,0.05,591144.1762041704,83650.66960251753,271168.89427511685,354.4726464507442,805.583486257641,1.0,0.6036253105740796,1.0,7.066819417144026,2.1799851999411843,0.30848180366015354,1667.6721945209754,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k40_g2.0/20260510_173959
0.9,40.0,3.0,0.05,701675.6372255123,100834.27213543326,304544.78370858484,425.43525947978486,959.7143466591563,1.0,0.6036253105740796,1.0,6.958701861635621,2.3040146302323046,0.3310983393231267,1649.312372659261,True,False,False,True,2,simulateur/results/grid_A_v3_f0.9_k40_g3.0/20260510_174013
0.9,60.0,1.0,0.05,484835.0177562447,37565.13147957165,254853.77087851946,256.5211527059948,538.7813703353635,1.0,0.6036253105740796,1.0,12.906517258428963,1.9024047244227351,0.14739876655573497,1890.0391357274386,False,False,False,True,1,simulateur/results/grid_A_v3_f0.9_k60_g1.0/20260510_174028
0.9,60.0,2.0,0.05,600199.3443438542,48200.99284633006,291074.81939982844,320.74664071403794,666.0043765181781,1.0,0.6036253105740796,1.0,12.452012062435191,2.062010535921363,0.16559657391771784,1871.2568368844202,False,False,False,True,1,simulateur/results/grid_A_v3_f0.9_k60_g2.0/20260510_174043
0.9,60.0,3.0,0.05,714112.6405799375,58711.63547254824,326830.36117686675,384.96964815738045,793.2197705601345,1.0,0.6036253105740796,1.0,12.163051409355386,2.1849642059217684,0.17963947798832552,1854.9842669362838,False,False,False,True,1,simulateur/results/grid_A_v3_f0.9_k60_g3.0/20260510_174057
